Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,kalispell international airport,,,piegan mountain,kalispell,scramble,United States,,"jun, jul, aug, sep",4446,2810.0,9220 ft/2810 m,,montana,-113.68924,,9220.0,48.71024,north america
,boise,idaho-bitterroot rockies,1958.0,warbonnet peak,stanley.,technical climb,United States,,"jul, aug, sep",1200,3124.0,10250 ft/3124 m,"paul petzoldt, j. speck, c. wilson, c. fish and b. merriam.",idaho,-115.05,,10250.0,44.0833,north america
,anchorage,chugach mountains,,lazy mountain,anchorage,,United States,,"jun, jul, aug, sep",4412,1147.0,3763 ft/1147 m,,alaska,-148.966572,,3763.0,61.622832,north america
,timisoara,,,peleaga,petrosani,walk up,Romania,,"jun, jul, aug",1866,2509.0,8232 ft/2509 m,,,22.894444,,8232.0,45.366111,europe
,seattle,cascade range,,eightmile mountain,leavenworth,scramble,United States,,"jun, jul, aug, sep, oct",656,2437.0,7996 ft/2437 m,,washington,-120.895,,7996.0,47.5322,north america
,mt hotham airport,victoria alps,,"cope, mount",,walk up,Australia,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4026,1837.0,6027 ft/1837 m,,,147.27683,,6027.0,-36.933685,australia/oceania
,bogota,colombian andes,,nevado del cocuy,,basic snow/ice climb,Colombia,,"jan, dec",4027,5081.0,16670 ft/5081 m,,,-72.15,,16670.0,6.5,south america
,mount hotham airport,victoria alps,,"hotham, mount",,walk up,Australia,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4024,1862.0,6109 ft/1862 m,,,147.128069,,6109.0,-36.975267,australia/oceania
,cooma airport,,,carruthers peak,"jindabyne, nsw",scramble,Australia,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4025,2145.0,7037 ft/2145 m,,,148.291111,,7037.0,-36.408611,australia/oceania
,geneva international airport,,,chenalette,martigny,scramble,Switzerland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4022,2792.0,9160 ft/2792 m,,,7.164202,,9160.0,45.874145,europe
,canberra airport,,,"coree, mount","canberra, act",scramble,Australia,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4023,1420.0,4659 ft/1420 m,,,148.81063,,4659.0,-35.306414,australia/oceania
,georgetown,eastern guiana highlands,1966.0,ayangaik,miami,technical climb,Guyana,,mar,4020,420.0,1378 ft/420 m,"streatley j, clark s, ingham s",,-60.63,,1378.0,6.083,south america
,,,,"donna buang, mount",,walk up,Australia,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4021,1250.0,4101 ft/1250 m,,,145.681458,,4101.0,-37.701207,australia/oceania
,seattle,cascade range,1966.0,meulfire,marblemount,scramble,United States,,"jun, jul, aug, sep, oct",643,2417.0,7930 ft/2417 m,"joe firey, joan firey, john meulemans, irene muelemans",washington,-120.858493,,7930.0,48.536159,north america
,pokhara,central nepal himalaya,,annapurna south,pokhara,major mountain expedition,Nepal,,"may, sep",4028,7219.0,23684 ft/7219 m,,,83.805857,,23684.0,28.518629,asia
,palermo,sicily,,pizzo carbonara,cefalu,scramble,Italy,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4029,1979.0,6493 ft/1979 m,,,14.0254,,6493.0,37.89412,europe
,mendoza,central argentina-chile,,"alto rio blanco, cerro",puente del inca,technical climb,Argentina,,"jan, feb, nov, dec",344,5350.0,17552 ft/5350 m,federico reichert,,-70.025063,,17552.0,-32.926932,south america
,"denver, co",central colorado ranges,,parkview mountain,"granby, co",walk up,United States,,"jun, jul, aug, sep",345,3748.0,12296 ft/3748 m,,colorado,-106.136,,12296.0,40.3303,north america
,reno,sierra nevada,1899.0,matterhorn peak,twin lakes,scramble,United States,,"jun, jul, aug, sep",346,3738.0,12264 ft/3738 m,"m.r. dempster, hutcinson, charles noble",california,-119.382,,12264.0,38.0933,north america
,seattle,cascade range,1933.0,methow pinnacles,marblemount,scramble,United States,,"apr, may, jun, jul, aug, sep, oct",347,2306.0,7562 ft/2306 m,"sydney schmerling, herman ulrichs",washington,-120.786438,,7562.0,48.621052,north america
,"kalispell, mt",central montana rockies,,reynolds mountain,"west glacier, mt",scramble,United States,,"jun, jul, aug",340,2781.0,9125 ft/2781 m,,montana,-113.723817,,9125.0,48.671579,north america
,denver,front range,,"bierstadt, mount","georgetown, co",walk up,United States,,"jan, feb, dec",341,4286.0,14060 ft/4286 m,,colorado,-105.668,,14060.0,39.5828,north america
,copiapo,puna de atacama,1950.0,el muerto,,basic snow/ice climb,Chile,,"jan, dec",3999,6488.0,21286 ft/6488 m,,,-68.483889,,21286.0,-27.0575,south america
,inverness,scottish highlands,1857.0,bla bheinn,portree / broadford,scramble,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",343,928.0,3044 ft/928 m,algeron swinburne and professor john nicol,,-6.09312,,3044.0,57.2196,europe
,poprad,carpathian mountains,1892.0,bradavica,stary smokovec,technical climb,Slovakia,,"jun, jul, aug, sep, oct",3997,2476.0,8123 ft/2476 m,"k. bachleda, k. tetmajer, t. boy-zelenski, j. bachleda-tajber",,20.155621,,8123.0,49.171716,europe
,poprad,carpathian mountains,1876.0,prostredny hrot,stary smokovec,technical climb,Slovakia,,"jun, jul, aug, sep",3996,2441.0,8009 ft/2441 m,"e. tery, p. schwarz, j. still, s. horvay",,20.19433,,8009.0,49.184957,europe
,,carpathian mountains,,caraiman,,walk up,Romania,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3995,2384.0,7822 ft/2384 m,,,25.493603,,7822.0,45.416407,europe
,krakow,carpathian mountains,,kasprov vrch,zakopane,walk up,Poland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3994,1987.0,6519 ft/1987 m,"klemens bachleda, karol potkanski",,19.981556,,6519.0,49.232003,europe
,poprad,carpathian mountains,,hruba kopa,liptovsky mikulas,scramble,Slovakia,,"may, jun, jul, aug, sep, oct",3993,2166.0,7106 ft/2166 m,,,19.723034,,7106.0,49.200102,europe
,krakow,carpathian mountains,,kondratova kopa,zakopane,walk up,Slovakia,,"may, jun, jul, aug, sep, oct",3992,2005.0,6578 ft/2005 m,,,19.932246,,6578.0,49.236515,europe
,poprad,carpathian mountains,,prislop,liptovsky mikulas,scramble,Slovakia,,"may, jun, jul, aug, sep, oct",3991,2142.0,7028 ft/2142 m,,,19.710159,,7028.0,49.193428,europe
,poprad,carpathian mountains,,banikov,liptovsky mikulas,scramble,Slovakia,,"may, jun, jul, aug, sep, oct",3990,2178.0,7146 ft/2178 m,,,19.710073,,7146.0,49.197859,europe
,seattle,cascade range,,prairie mtn.,darrington,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",964,1731.0,5678 ft/1731 m,,washington,-121.47,,5678.0,48.2753,north america
,anchorage,alaska range,1975.0,tokosha mountains,anchorage,technical climb,United States,,"jun, jul",4687,1874.0,6148 ft/1874 m,"johnston, okonek, flouret",alaska,-150.6309,,6148.0,62.7167,north america
,flagstaff,colorado plateau,,cathedral rock,sedona,scramble,United States,,"jan, feb, mar, nov, dec",4684,1513.0,4964 ft/1513 m,,arizona,-111.793157,,4964.0,34.819912,north america
,seattle-tacoma,cascade range,,morning star peak,granite falls,scramble,United States,,"jul, aug, sep",4685,1835.0,6020 ft/1835 m,,washington,-121.490846,,6020.0,48.00393,north america
